Name,PlayerID,Team,Start_year,End_year,inactive,handed
Justin Verlander,verlaju01,HOU,2005,2020,2018,R
Max Scherzer,scherma01,TEX,2008,2024,0,R
Clayton Kershaw,kershcl01,LAD,2009,2025,L
Gerrit Cole,colege01,NYY,2013,2024,0,L
Yu Darvish,darviyu01,SD,2012,2024,2015,R
Chris Sale,salech01,ATL,2013,2025,2020,L
Madison Bumgarner,bumgama01,SFG,2009,2023,0,L
Aaron Nola,nolaaa01,Phi,2015,2024,0,R
Jacob deGrom,degroja01,TEX,2014,2023,0,R
Blake Snell,snellbl01,SFG,2016,2025,0,L
Charlie Morton,mortoch02,ATL,2008,2025,0,R
Patrick Corbin,corbipa01,TEX,2012,2025,2016,L
Steven Matz,matzst01,STL,2015,2024,L
Tarik Skubal,skubata01,DET,2021,2025,0,L
Logan Webb,webblo01,SFG,2019,2025,0,R
Paul Skenes,skenepa01,PIP,2023,2025,0,R
Hunter Brown,brownhu01,HOU,2023,2025,0,R
Nathan Eovaldi,eovalna01,TEX,2011,2025,0,R
Carlos Rodon,rodonca01,NYY,2015,2025,0,L
Zack Greinke,greinza01,KCR,2004,2023,0,R
Framber Valdez,valdefr01,HOU,2018,2025,0,L
José Urquidy,urquijo01,HOU,2019,2025,0,R
Cristian Javier,javiecr01,HOU,2019,2025,0,R
Jon Gray,grayjo02,TEX,2015,2025,0,R
Martin Perez,perezma02,TEX,2015,2025,0,L
Walker Buehler,buehlwa01,LAD,2017,2025,0,R
Tony Gonsolin,gonsito01,LAD,2020,2025,0,R
Tyler Glasnow,glasnty01,LAD,2025,2025,0,R
Domingo Germán,germado01,NYY,2016,2025,0,R
Clarke Schmidt,schmicl01,NYY,2019,2025,0,R
Max Fried,friedma01,NYY,2018,2025,0,L
Randy Vásquez,vasqura02,SDP,2023,2025,2020,R
Michael Wacha,wachami01,KC,2013,2025,0,R
Will Warren,warrewi01,NYY,2024,2025,0,R
Logan Webb,webblLo01,SFG,2019,2025,0,R
Zack Wheeler,wheelza01,PHI,2013,2025,0,R
Gavin Williams,williga01,CLE,2023,2025,0,R
Trevor Williams,willitre01,WSH,2016,2025,0,R
